date,avg_anomaly,max_anomaly,min_anomaly,count_anomaly
1880-01-01,-0.21,0.16,-0.72,120
1890-01-01,-0.24,0.12,-0.81,120
1900-01-01,-0.31,0.1,-0.73,120
1910-01-01,-0.32,0.06,-0.82,120
1920-01-01,-0.23,0.21,-0.58,120
1930-01-01,-0.12,0.44,-0.44,120
1940-01-01,0.05,0.36,-0.3,120
1950-01-01,-0.05,0.39,-0.41,120
1960-01-01,-0.03,0.24,-0.35,120
1970-01-01,0.03,0.48,-0.27,120
1980-01-01,0.25,0.57,-0.04,120
1990-01-01,0.39,0.88,-0.01,120
2000-01-01,0.59,1.02,0.25,120
2010-01-01,0.81,1.37,0.45,120
2020-01-01,0.93,1.24,0.64,39
